id,name,latitude,longitude,kind,media
11,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO KM 18+200M LD,-23.5135375,-46.7964282,RODOVIA,FRONTLIGHT 
12,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO KM 18+200M LD,-23.5135375,-46.7964282,RODOVIA,FRONTLIGHT 
13,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO KM 18+334M LD,-23.5128952,-46.7979086,RODOVIA,FRONTLIGHT 
14,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO  KM 18+334M LD,-23.5128952,-46.7979086,RODOVIA,FRONTLIGHT 
15,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO  KM 18+445M LD,-23.5124895,-46.7993142,RODOVIA,FRONTLIGHT 
16,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO KM 18+445M LD,-23.5124895,-46.7993142,RODOVIA,FRONTLIGHT 
17,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO KM 18+545M,-23.5127,-46.7985212,RODOVIA,FRONTLIGHT 
18,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO  KM 18+545M,-23.5127,-46.7985212,RODOVIA,FRONTLIGHT 
21,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO KM 18+860M LD,-23.5113992,-46.8028137,RODOVIA,FRONTLIGHT 
22,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO  KM 18+860M LD,-23.5113992,-46.8028137,RODOVIA,FRONTLIGHT 
23,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO  KM 19+078M LD,-23.5106758,-46.8053998,RODOVIA,FRONTLIGHT 
24,AV. MARGINAL SÃO PAULO X ALPHAVILLE- CASTELLO BRANCO  KM 19+078M LD,-23.5106758,-46.8053998,RODOVIA,FRONTLIGHT 
26,RODOVIA CASTELLO BRANCO KM 28+400M LD,-23.5062137,-46.8952395,RODOVIA,FRONTLIGHT 
28,RODOVIA CASTELLO BRANCO KM 34+200M LE,-23.5192835,-46.9527677,RODOVIA,FRONTLIGHT 
29,RODOVIA CASTELLO BRANCO KM 34+400M LE,-23.519338,-46.9521483,RODOVIA,FRONTLIGHT 
31,RODOVIA CASTELLO BRANCO KM 38+400M LD,-23.4921836,-46.9872162,RODOVIA,FRONTLIGHT 
32,RODOVIA CASTELLO BRANCO KM 41+200M LD,-23.4777815,-46.9988226,RODOVIA,FRONTLIGHT 
42,RODOVIA CASTELLO BRANCO KM 55+300M LE,-23.4345075,-47.1222961,RODOVIA,FRONTLIGHT 
43,RODOVIA CASTELLO BRANCO KM 62-  LE,-23.4208939,-47.1786954,RODOVIA,FRONTLIGHT 
44,RODOVIA CASTELLO BRANCO KM 62- LE,-23.420671,-47.1823889,RODOVIA,FRONTLIGHT 
47,RODOVIA CASTELLO BRANCO KM 65+200M LE,-23.4188933,-47.2120776,RODOVIA,FRONTLIGHT 
