id,lat,long,dailyImpacts,monthlyImpacts,value,CPM30,CPM14,CPM7,CPM1
11,-23.51353750,-46.79642820,452.036,13.561.080,"R$ 11.000,00","R$ 0,81","R$ 1,74","R$ 3,48","R$ 24,33"
12,-23.51353750,-46.79642820,452.036,13.561.080,"R$ 11.000,00","R$ 0,81","R$ 1,74","R$ 3,48","R$ 24,33"
13,-23.51289520,-46.79790860,448.093,13.442.790,"R$ 11.000,00","R$ 0,82","R$ 1,75","R$ 3,51","R$ 24,55"
14,-23.51289520,-46.79790860,448.093,13.442.790,"R$ 11.000,00","R$ 0,82","R$ 1,75","R$ 3,51","R$ 24,55"
15,-23.51248950,-46.79931420,446.432,13.392.960,"R$ 11.000,00","R$ 0,82","R$ 1,76","R$ 3,52","R$ 24,64"
16,-23.51248950,-46.79931420,446.432,13.392.960,"R$ 11.000,00","R$ 0,82","R$ 1,76","R$ 3,52","R$ 24,64"
17,-23.51270000,-46.79852120,447.759,13.432.770,"R$ 11.000,00","R$ 0,82","R$ 1,75","R$ 3,51","R$ 24,57"
18,-23.51270000,-46.79852120,447.759,13.432.770,"R$ 11.000,00","R$ 0,82","R$ 1,75","R$ 3,51","R$ 24,57"
21,-23.51139920,-46.80281370,443.660,13.309.800,"R$ 11.000,00","R$ 0,83","R$ 1,77","R$ 3,54","R$ 24,79"
22,-23.51139920,-46.80281370,443.660,13.309.800,"R$ 11.000,00","R$ 0,83","R$ 1,77","R$ 3,54","R$ 24,79"
23,-23.51067580,-46.80539980,440.586,13.217.580,"R$ 11.000,00","R$ 0,83","R$ 1,78","R$ 3,57","R$ 24,97"
24,-23.51067580,-46.80539980,440.586,13.217.580,"R$ 11.000,00","R$ 0,83","R$ 1,78","R$ 3,57","R$ 24,97"
26,-23.50621370,-46.89523950,320.036,9.601.080,"R$ 9.000,00","R$ 0,94","R$ 2,01","R$ 4,02","R$ 28,12"
28,-23.51928350,-46.95276770,244.488,7.334.640,"R$ 9.000,00","R$ 1,23","R$ 2,63","R$ 5,26","R$ 36,81"
29,-23.51933800,-46.95214830,245.815,7.374.450,"R$ 9.000,00","R$ 1,22","R$ 2,62","R$ 5,23","R$ 36,61"
31,-23.49218360,-46.98721620,178.871,5.366.130,"R$ 9.000,00","R$ 1,68","R$ 3,59","R$ 7,19","R$ 50,32"
32,-23.47778150,-46.99882260,168.954,5.068.620,"R$ 9.000,00","R$ 1,78","R$ 3,80","R$ 7,61","R$ 53,27"
42,-23.43450750,-47.12229610,163.536,4.906.080,"R$ 9.000,00","R$ 1,83","R$ 3,93","R$ 7,86","R$ 55,03"
43,-23.42089390,-47.17869540,163.009,4.890.270,"R$ 9.000,00","R$ 1,84","R$ 3,94","R$ 7,89","R$ 55,21"
44,-23.42067100,-47.18238890,163.177,4.895.310,"R$ 9.000,00","R$ 1,84","R$ 3,94","R$ 7,88","R$ 55,15"
